t	S	I[0]	I[1]	I[2]	R
314	397	1		1		0		1
315	394	2		1		0		3
316	392	1		1		0		6
317	390	1		1		0		8
318	388	2		0		0		10
319	386	2		0		0		12
320	384	2		0		0		14
321	383	1		0		0		16
322	381	2		0		0		17
323	380	1		0		0		19
324	380	0		0		0		20
325	396	0		3		0		1
326	392	0		4		0		4
327	389	0		3		0		8
328	383	1		5		0		11
329	373	3		7		0		17
330	356	5		12		0		27
331	339	2		14		1		44
332	319	3		16		1		61
333	290	6		20		3		81
334	256	7		21		6		110
335	214	8		19		15		144
336	171	9		14		20		186
337	128	8		7		28		229
338	83	7		2		36		272
339	49	4		1		29		317
340	29	6		1		13		351
341	21	0		1		7		371
342	16	1		0		4		379
343	13	0		0		3		384
344	12	0		0		1		387
345	12	0		0		0		388
346	396	1		2		0		1
347	395	0		1		0		4
348	394	0		1		0		5
349	394	0		0		0		6
350	397	0		2		0		1
351	393	0		4		0		3
352	387	1		5		0		7
353	379	0		8		0		13
354	367	1		11		0		21
355	352	3		12		0		33
